Rank,Title,Year,Rating,Votes,Runtime (min),Genres
1,The Shawshank Redemption,1994,9.3,3075769,142.0,Drama
2,The Dark Knight,2008,9.1,3050062,152.0,"Action,Crime,Drama"
3,Inception,2010,8.8,2710057,148.0,"Action,Adventure,Sci-Fi"
4,Fight Club,1999,8.8,2494155,139.0,"Crime,Drama,Thriller"
5,Forrest Gump,1994,8.8,2402059,142.0,"Drama,Romance"
6,Interstellar,2014,8.7,2378544,169.0,"Adventure,Drama,Sci-Fi"
7,Pulp Fiction,1994,8.8,2355215,154.0,"Crime,Drama"
8,The Matrix,1999,8.7,2173426,136.0,"Action,Sci-Fi"
9,The Godfather,1972,9.2,2145490,175.0,"Crime,Drama"
10,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2127165,178.0,"Adventure,Drama,Fantasy"
11,The Lord of the Rings: The Return of the King,2003,9.0,2095220,201.0,"Adventure,Drama,Fantasy"
12,Se7en,1995,8.6,1932063,127.0,"Crime,Drama,Mystery"
13,The Dark Knight Rises,2012,8.4,1929472,164.0,"Action,Crime,Drama"
14,The Lord of the Rings: The Two Towers,2002,8.8,1889711,179.0,"Adventure,Drama,Fantasy"
15,Django Unchained,2012,8.5,1808508,165.0,"Drama,Western"
16,Gladiator,2000,8.5,1779199,155.0,"Action,Adventure,Drama"
17,The Wolf of Wall Street,2013,8.2,1705290,180.0,"Biography,Comedy,Crime"
18,Inglourious Basterds,2009,8.4,1702491,153.0,"Adventure,Drama,War"
19,Batman Begins,2005,8.2,1660177,140.0,"Action,Crime,Drama"
20,The Silence of the Lambs,1991,8.6,1651603,118.0,"Crime,Drama,Horror"
21,Joker,2019,8.3,1627444,122.0,"Crime,Drama,Thriller"
22,Saving Private Ryan,1998,8.6,1583657,169.0,"Drama,War"
23,Shutter Island,2010,8.2,1566908,138.0,"Drama,Mystery,Thriller"
24,Schindler's List,1993,9.0,1537016,195.0,"Biography,Drama,History"
25,The Prestige,2006,8.5,1529318,130.0,"Drama,Mystery,Sci-Fi"
26,Star Wars: Episode IV - A New Hope,1977,8.6,1523680,121.0,"Action,Adventure,Fantasy"
27,The Avengers,2012,8.0,1519239,143.0,"Action,Sci-Fi"
28,The Departed,2006,8.5,1500791,151.0,"Crime,Drama,Thriller"
29,The Green Mile,1999,8.6,1500457,189.0,"Crime,Drama,Fantasy"
30,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1456740,124.0,"Action,Adventure,Fantasy"
31,The Godfather Part II,1974,9.0,1443100,202.0,"Crime,Drama"
32,Avatar,2009,7.9,1439037,162.0,"Action,Adventure,Fantasy"
33,Back to the Future,1985,8.5,1391966,116.0,"Adventure,Comedy,Sci-Fi"
34,Memento,2000,8.4,1390231,113.0,"Drama,Mystery,Thriller"
35,Avengers: Endgame,2019,8.4,1376713,181.0,"Action,Adventure,Sci-Fi"
36,Titanic,1997,7.9,1349685,194.0,"Drama,Romance"
37,Goodfellas,1990,8.7,1339576,145.0,"Biography,Crime,Drama"
38,Guardians of the Galaxy,2014,8.0,1326929,121.0,"Action,Adventure,Comedy"
39,Léon: The Professional,1994,8.5,1312439,110.0,"Action,Crime,Drama"
40,Avengers: Infinity War,2018,8.4,1304566,149.0,"Action,Adventure,Sci-Fi"
41,The Truman Show,1998,8.2,1301260,103.0,"Comedy,Drama"
42,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1278239,143.0,"Action,Adventure,Fantasy"
43,WALL·E,2008,8.4,1272741,98.0,"Adventure,Animation,Family"
44,Kill Bill: Vol. 1,2003,8.2,1261042,111.0,"Action,Crime,Thriller"
45,American Beauty,1999,8.3,1255827,122.0,Drama
46,Terminator 2: Judgment Day,1991,8.6,1243348,137.0,"Action,Adventure,Sci-Fi"
47,American History X,1998,8.5,1239594,119.0,"Crime,Drama"
48,V for Vendetta,2005,8.1,1221500,132.0,"Action,Drama,Sci-Fi"
49,Deadpool,2016,8.0,1217262,108.0,"Action,Comedy,Sci-Fi"
50,The Lion King,1994,8.5,1214212,88.0,"Adventure,Animation,Drama"
51,The Usual Suspects,1995,8.5,1198457,106.0,"Crime,Drama,Mystery"
52,Up,2009,8.3,1192853,96.0,"Adventure,Animation,Comedy"
53,Iron Man,2008,7.9,1184847,126.0,"Action,Adventure,Sci-Fi"
54,Catch Me If You Can,2002,8.1,1178527,141.0,"Biography,Crime,Drama"
55,The Shining,1980,8.4,1177308,146.0,"Drama,Horror"
56,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1175249,131.0,"Action,Adventure,Fantasy"
57,Mad Max: Fury Road,2015,8.1,1174668,120.0,"Action,Adventure,Sci-Fi"
58,Finding Nemo,2003,8.2,1169890,100.0,"Adventure,Animation,Comedy"
59,Good Will Hunting,1997,8.3,1150460,126.0,"Drama,Romance"
60,Eternal Sunshine of the Spotless Mind,2004,8.3,1146256,108.0,"Drama,Romance,Sci-Fi"
61,Reservoir Dogs,1992,8.3,1140810,99.0,"Crime,Thriller"
62,No Country for Old Men,2007,8.2,1136553,122.0,"Crime,Drama,Thriller"
63,Braveheart,1995,8.3,1136321,178.0,"Biography,Drama,War"
64,Jurassic Park,1993,8.2,1135180,127.0,"Action,Adventure,Sci-Fi"
65,Toy Story,1995,8.3,1132818,81.0,"Adventure,Animation,Comedy"
66,Gone Girl,2014,8.1,1130749,149.0,"Drama,Mystery,Thriller"
67,One Flew Over the Cuckoo's Nest,1975,8.7,1125822,133.0,Drama
68,The Sixth Sense,1999,8.2,1107863,107.0,"Drama,Mystery,Thriller"
69,Whiplash,2014,8.5,1088933,106.0,"Drama,Music"
70,Parasite,2019,8.5,1083660,132.0,"Drama,Thriller"
71,Raiders of the Lost Ark,1981,8.4,1082217,115.0,"Action,Adventure"
72,The Hunger Games,2012,7.2,1050886,142.0,"Action,Adventure,Sci-Fi"
73,"Monsters, Inc.",2001,8.1,1037236,92.0,"Adventure,Animation,Comedy"
74,A Beautiful Mind,2001,8.2,1028534,135.0,"Biography,Drama,Mystery"
75,Alien,1979,8.5,1025243,117.0,"Horror,Sci-Fi"
76,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1006952,130.0,"Adventure,Family,Fantasy"
77,Star Wars: Episode VII - The Force Awakens,2015,7.7,1006140,138.0,"Action,Adventure,Sci-Fi"
78,Die Hard,1988,8.2,996594,132.0,"Action,Thriller"
79,Taxi Driver,1976,8.2,988581,114.0,"Crime,Drama"
80,The Intouchables,2011,8.5,987742,112.0,"Comedy,Drama"
81,The Pianist,2002,8.5,976897,150.0,"Biography,Drama,Music"
82,Scarface,1983,8.3,976651,170.0,"Crime,Drama"
83,The Martian,2015,8.0,975070,144.0,"Adventure,Drama,Sci-Fi"
84,The Terminator,1984,8.1,972652,107.0,"Action,Adventure,Sci-Fi"
85,Avengers: Age of Ultron,2015,7.3,968766,141.0,"Action,Adventure,Sci-Fi"
86,Dune: Part One,2021,8.0,968681,155.0,"Action,Adventure,Drama"
87,Spider-Man: No Way Home,2021,8.2,966253,148.0,"Action,Adventure,Fantasy"
88,Snatch,2000,8.2,952388,102.0,"Comedy,Crime"
89,Requiem for a Dream,2000,8.3,946098,102.0,Drama
90,Captain America: The Winter Soldier,2014,7.7,943306,136.0,"Action,Adventure,Sci-Fi"
91,Captain America: The First Avenger,2011,6.9,940699,124.0,"Action,Adventure,Sci-Fi"
92,Thor,2011,7.0,940319,115.0,"Action,Fantasy"
93,Toy Story 3,2010,8.3,939386,103.0,"Adventure,Animation,Comedy"
94,Iron Man 3,2013,7.1,939336,130.0,"Action,Adventure,Sci-Fi"
95,12 Angry Men,1957,9.0,939276,96.0,"Crime,Drama"
96,The Grand Budapest Hotel,2014,8.1,934937,99.0,"Comedy,Drama"
97,Spider-Man,2002,7.4,931848,121.0,"Action,Adventure,Sci-Fi"
98,Spirited Away,2001,8.6,922104,124.0,"Adventure,Animation,Family"
99,Once Upon a Time... in Hollywood,2019,7.6,919248,161.0,"Comedy,Drama"
100,The Revenant,2015,8.0,917918,156.0,"Adventure,Drama,Western"
